fuel_type,plant_age_years,efficiency_percent,capacity_factor_percent,load_factor,weather_impact_factor,maintenance_factor,region,grid_demand_mw,operating_temp_celsius,distance_to_grid_km,electricity_generated_mwh,co2_emissions_tonnes
Hydroelectric,34.4,89.14,45.99,0.621,0.736,1.0,North,4068.26,40.1,44.9,1053.97,17.02
Coal,28.7,34.28,58.23,0.454,1.0,1.0,West,5424.72,26.0,27.3,4611.83,7177.47
Natural_Gas,16.3,51.43,65.79,0.355,1.0,0.95,West,5140.31,37.6,62.1,1070.72,441.68
Natural_Gas,34.3,49.1,46.39,0.735,1.0,1.0,East,3043.39,20.1,54.8,1425.05,689.81
Hydroelectric,26.0,89.76,44.85,0.409,0.844,1.0,South,5380.99,8.4,25.0,482.48,7.83
Wind,26.6,34.28,25.27,0.742,0.766,0.95,Central,3113.24,42.5,27.7,301.53,6.13
Geothermal,27.6,16.11,33.06,0.927,1.0,1.0,West,3522.83,26.4,52.3,2723.98,383.96
Hydroelectric,31.1,92.73,46.21,0.377,0.823,1.0,East,4207.66,21.3,43.5,499.63,8.5
Nuclear,6.2,35.24,83.12,0.608,1.0,1.0,East,5187.23,37.2,35.8,7887.35,196.37
Coal,13.8,32.0,78.26,0.807,1.0,0.95,Central,5631.46,23.4,77.7,10159.93,15543.2
Coal,22.9,30.86,77.43,0.643,1.0,1.0,North,3604.53,32.6,20.0,13820.69,23691.79
Nuclear,29.8,27.17,83.64,0.693,1.0,1.0,North,5158.51,41.6,69.6,6366.13,259.64
Coal,3.3,41.03,67.51,0.783,1.0,1.0,East,6252.48,17.9,18.1,8223.89,9541.35
Oil,32.1,33.11,72.99,0.499,1.0,1.0,West,3688.91,37.0,65.6,2550.76,3507.84
Natural_Gas,4.9,51.33,84.14,0.435,1.0,1.0,North,2471.76,32.8,31.2,5482.66,2007.77
Coal,23.3,34.98,78.64,0.865,1.0,1.0,East,4753.68,14.3,54.0,11553.61,15793.35
Nuclear,18.5,32.48,91.97,0.74,1.0,1.0,West,2532.35,18.5,65.8,16972.19,499.54
Coal,1.1,31.0,67.51,0.456,1.0,1.0,North,5745.0,33.9,3.9,3723.45,5656.04
Natural_Gas,33.1,47.07,61.2,0.325,1.0,1.0,South,4968.61,44.5,34.3,1876.76,962.59
Oil,16.3,35.86,48.99,0.687,1.0,1.0,East,3723.48,10.9,50.5,1570.95,1576.98
Nuclear,19.2,30.17,90.21,0.53,1.0,1.0,East,4616.17,46.0,47.3,1282.16,43.89
Natural_Gas,20.5,48.21,64.29,0.798,1.0,1.0,Central,3868.72,37.4,12.8,123.1,53.78
Coal,4.1,32.12,86.85,0.646,1.0,1.0,East,7521.14,7.0,34.8,11160.22,15238.94
Nuclear,18.0,27.2,84.12,0.479,1.0,0.95,South,5269.28,29.0,33.1,4665.67,192.73
Oil,4.6,34.76,50.56,0.705,1.0,1.0,West,4483.7,34.3,77.8,85.54,89.06
Coal,24.3,31.61,77.24,0.506,1.0,1.0,Central,5660.76,24.7,60.1,7758.23,13411.74
Coal,31.1,31.61,68.06,0.437,1.0,1.0,South,8694.52,21.1,68.0,4030.81,6869.61
Coal,15.1,37.24,69.33,0.776,1.0,1.0,East,2641.87,29.5,80.3,8701.83,11724.18
Solar,10.1,18.55,33.29,0.858,0.799,1.0,Central,5756.48,23.9,16.6,745.87,120.41
Coal,1.4,29.08,52.46,0.857,1.0,0.95,South,5346.61,42.4,12.6,8352.27,13403.8
Oil,36.6,35.29,65.05,0.38,1.0,0.95,East,7230.92,22.7,44.0,1610.1,2333.8
Natural_Gas,7.7,46.24,49.0,0.963,1.0,1.0,South,4983.49,25.0,25.5,3023.1,1271.76
Hydroelectric,36.2,83.91,44.35,0.33,1.075,1.0,West,5683.47,14.3,27.9,333.03,6.58
Oil,29.8,31.87,34.16,0.435,1.0,1.0,East,4461.06,20.4,51.3,296.54,426.83
Natural_Gas,7.8,48.29,51.38,0.944,1.0,1.0,West,4780.78,34.3,82.2,4059.18,1557.15
Solar,32.5,15.52,28.22,0.373,1.392,1.0,East,6241.85,18.7,11.9,288.98,65.17
Natural_Gas,31.0,48.79,43.71,0.792,1.0,1.0,South,5649.57,25.7,52.7,1585.14,763.1
Coal,27.9,32.11,77.79,0.787,1.0,1.0,South,2860.94,35.4,17.7,146.93,256.3
Natural_Gas,7.0,51.76,63.33,0.507,1.0,1.0,Central,4742.4,18.3,94.9,2855.83,1120.58
Natural_Gas,30.6,45.12,58.68,0.61,1.0,1.0,South,4694.36,14.3,66.7,4695.8,2378.93
Natural_Gas,10.0,46.18,58.77,0.395,1.0,1.0,North,4539.56,26.4,95.7,2621.9,1177.27
Wind,14.3,31.54,40.76,0.657,0.826,1.0,Central,3979.5,28.3,24.3,619.54,12.11
Wind,2.8,35.13,26.81,0.343,1.153,1.0,North,6330.96,7.0,74.7,418.0,6.87
Biomass,9.9,25.71,73.5,0.841,1.0,1.0,Central,5700.95,42.0,11.6,5559.7,3094.22
Natural_Gas,3.7,52.72,43.4,0.324,1.0,1.0,West,4374.15,25.7,24.9,1889.96,733.55
Hydroelectric,4.3,85.44,50.08,0.65,0.886,1.0,South,4298.7,16.7,94.7,2719.8,39.45
Wind,1.9,39.06,55.11,0.775,0.983,1.0,North,5716.0,32.4,83.2,1169.35,17.27
Natural_Gas,28.4,56.0,53.24,0.355,1.0,1.0,West,1986.18,23.2,14.2,1748.08,768.16
Wind,21.6,27.78,36.22,0.966,0.935,1.0,North,5693.15,34.1,97.8,1233.65,28.6
Geothermal,40.0,12.6,64.11,0.892,1.0,0.95,South,6540.79,31.4,26.7,3862.61,741.89
Coal,18.9,30.16,78.74,0.962,1.0,1.0,Central,2699.12,16.9,46.0,7522.53,11704.56
Hydroelectric,39.6,84.9,34.3,0.392,0.855,1.0,West,4151.67,23.0,37.3,878.57,18.31
Wind,6.6,29.67,41.06,0.671,0.997,1.0,East,4313.73,30.3,25.0,764.19,15.24
Geothermal,21.7,16.11,61.56,0.676,1.0,1.0,East,5130.24,17.1,31.6,2061.78,289.58
Natural_Gas,17.1,47.96,64.89,0.731,1.0,1.0,Central,3117.8,33.6,65.7,5006.5,2147.73
Coal,16.1,35.95,65.14,0.901,1.0,1.0,South,3431.82,30.1,25.0,9447.09,12362.68
Natural_Gas,10.1,50.08,54.11,0.877,1.0,1.0,West,6660.91,32.2,86.3,7615.4,2733.58
Natural_Gas,28.3,43.85,62.53,0.74,1.0,1.0,East,2439.16,5.0,41.1,7587.26,4162.52
Hydroelectric,24.1,82.96,64.15,0.319,0.932,1.0,Central,6905.07,32.9,75.2,725.17,12.97
Coal,4.9,35.26,79.4,0.557,1.0,1.0,North,7412.89,17.0,54.4,11248.59,15115.17
Wind,2.6,33.87,41.11,0.558,1.029,1.0,South,2784.55,4.2,39.0,843.09,14.06
Coal,30.4,29.41,56.04,0.732,1.0,1.0,South,4623.96,18.5,76.2,10269.56,20129.72
Natural_Gas,24.8,47.07,49.92,0.861,1.0,1.0,Central,6883.52,37.0,56.8,3360.45,1528.18
Coal,3.9,30.06,73.7,0.402,1.0,0.95,South,2891.87,30.9,12.3,6315.58,10029.72
Oil,16.6,33.0,48.17,0.533,1.0,1.0,East,5359.83,21.1,44.4,1002.97,1339.71
Natural_Gas,34.4,52.76,51.74,0.696,1.0,1.0,West,3840.9,34.7,31.9,7065.78,3116.48
Natural_Gas,29.5,44.76,66.18,0.877,1.0,0.95,West,4562.79,40.7,76.2,6404.7,3230.27
Coal,5.4,33.16,57.83,0.531,1.0,1.0,Central,3707.58,20.8,36.8,6481.05,9728.31
Natural_Gas,17.5,39.11,64.41,0.59,1.0,1.0,South,7287.3,0.8,84.7,4257.07,2207.29
Oil,33.5,35.92,37.81,0.498,1.0,1.0,West,3958.22,29.5,77.6,204.43,258.45
Coal,33.5,33.95,77.5,0.76,1.0,1.0,South,4473.59,23.2,98.0,10019.45,16562.34
Coal,19.8,31.48,60.13,0.381,1.0,1.0,West,7014.17,42.7,20.9,5212.44,8780.01
Natural_Gas,34.0,50.24,43.11,0.826,1.0,1.0,Central,3092.66,31.6,14.0,5866.36,2840.11
Nuclear,28.1,29.47,81.4,0.755,1.0,1.0,West,3920.03,36.4,41.6,15884.11,569.78
Natural_Gas,36.5,47.35,74.6,0.393,1.0,1.0,East,3866.04,27.6,53.7,5103.58,2785.08
Natural_Gas,14.8,44.67,68.43,0.374,1.0,1.0,West,7160.77,21.7,53.3,1982.02,978.0
Natural_Gas,1.1,54.34,73.78,0.584,1.0,1.0,West,6708.02,38.9,77.5,5405.02,1626.33
Natural_Gas,6.2,53.15,63.02,0.727,1.0,1.0,East,6051.5,26.8,6.6,2956.2,963.08
Oil,21.7,42.22,49.21,0.611,1.0,1.0,Central,4107.36,17.0,40.8,655.98,677.77
Natural_Gas,30.8,48.26,48.36,0.819,1.0,1.0,East,8013.36,23.6,96.6,2645.36,1255.38
Biomass,34.2,21.73,36.53,0.791,1.0,0.95,East,7382.51,21.5,80.0,65.89,48.9
Natural_Gas,23.4,46.97,47.37,0.725,1.0,1.0,West,5374.44,16.1,3.9,2855.9,1394.47
Solar,38.0,19.83,26.61,0.394,1.166,1.0,West,5771.07,23.2,76.8,522.39,92.25
Coal,2.6,36.57,44.32,0.869,1.0,1.0,South,6009.91,31.0,14.7,5031.27,6295.74
Natural_Gas,29.6,42.53,62.98,0.517,1.0,1.0,Central,5101.47,45.3,8.3,2059.06,1158.33
Hydroelectric,26.2,86.49,40.06,0.487,1.022,1.0,Central,4186.52,7.7,52.8,1084.09,16.65
Natural_Gas,13.3,51.71,65.99,0.892,1.0,1.0,East,4775.28,26.3,29.4,6599.44,2628.78
Coal,4.3,30.76,72.81,0.605,1.0,1.0,East,4888.1,7.9,54.6,12118.36,17614.78
Biomass,13.2,19.25,48.57,0.731,1.0,1.0,East,5004.38,46.5,53.5,2262.71,1608.96
Natural_Gas,22.7,46.21,58.48,0.309,1.0,1.0,North,2219.76,34.3,65.8,2195.53,1088.23
Wind,36.1,38.12,42.14,0.427,1.014,1.0,North,6096.66,17.8,38.7,659.57,12.85
Coal,39.6,34.1,91.61,0.529,1.0,0.95,West,4486.73,21.1,93.8,2117.78,4178.78
Wind,6.2,40.67,35.09,0.453,1.08,1.0,North,6951.0,14.7,60.7,577.95,8.99
Natural_Gas,8.0,44.38,70.64,0.635,1.0,1.0,North,3565.06,22.8,30.9,4974.93,2130.49
Natural_Gas,9.2,51.42,37.39,0.977,1.0,1.0,North,6362.67,20.7,34.8,6924.79,2560.99
Natural_Gas,13.6,50.77,30.09,0.757,1.0,1.0,Central,4152.57,9.8,26.7,3113.23,1272.17
Oil,2.6,33.92,65.38,0.782,1.0,1.0,West,4863.7,24.2,18.4,2675.27,2868.45
Coal,26.7,34.12,71.08,0.717,1.0,0.95,East,3859.63,35.6,43.0,9409.62,16206.13
Coal,17.8,34.15,58.25,0.31,1.0,0.95,West,4289.53,27.5,25.2,1912.84,2956.2
Hydroelectric,20.6,86.46,53.79,0.683,1.11,1.0,North,5642.16,39.9,66.9,1743.61,26.54
Coal,5.1,21.18,74.19,0.606,1.0,1.0,Central,5220.12,17.5,92.3,10422.98,23084.07
Wind,16.8,33.03,49.53,0.802,1.171,0.95,East,5220.96,26.0,39.5,468.51,8.91
Natural_Gas,21.1,48.32,65.94,0.35,1.0,0.95,East,5636.76,25.2,69.9,3748.27,1772.55
Solar,34.3,14.43,25.07,0.536,0.978,1.0,West,7735.04,42.8,15.0,137.82,33.85
Nuclear,17.3,32.45,82.77,0.521,1.0,0.95,West,7954.01,44.2,4.4,12970.39,418.33
Hydroelectric,2.3,85.94,41.91,0.618,1.14,1.0,South,7212.46,31.4,8.4,1368.3,19.21
Coal,7.1,34.04,63.79,0.739,1.0,1.0,North,3585.55,17.0,83.7,9299.38,12498.35
Coal,39.3,28.87,76.65,0.54,1.0,1.0,North,5960.48,33.0,58.3,10606.64,21797.17
Geothermal,40.0,13.14,71.0,0.97,1.0,0.95,East,4058.51,39.8,87.1,1566.6,307.57
Natural_Gas,9.9,48.1,56.86,0.983,1.0,1.0,South,7216.89,11.0,32.3,6466.26,2792.0
Oil,6.2,37.03,42.43,0.606,1.0,1.0,Central,5267.28,31.2,26.6,2030.4,2060.46
Wind,3.7,34.97,36.98,0.322,1.042,1.0,West,4414.3,18.1,64.1,321.07,5.34
Nuclear,23.8,29.24,95.0,0.413,1.0,1.0,North,4140.84,15.1,4.7,7201.89,256.1
Hydroelectric,28.9,85.71,23.19,0.578,0.984,1.0,West,4947.83,38.4,18.4,735.18,12.97
Biomass,25.0,21.0,74.2,0.575,1.0,1.0,East,6340.31,24.7,63.4,3057.49,2116.39
Coal,32.6,29.21,63.72,0.596,1.0,1.0,Central,5492.58,20.2,22.4,7085.95,13450.45
Wind,23.9,34.2,34.77,0.992,0.995,1.0,West,5024.03,28.5,71.1,82.42,1.66
Natural_Gas,33.8,47.31,46.53,0.988,1.0,1.0,Central,8004.95,13.7,81.1,5866.35,3245.0
Coal,29.2,35.72,72.69,0.709,1.0,1.0,North,4854.32,30.0,10.7,11235.48,17206.07
Natural_Gas,11.3,50.36,40.67,0.447,1.0,1.0,West,2876.58,32.3,75.3,2047.39,809.44
Wind,38.2,31.48,33.86,0.377,0.875,0.95,West,7949.05,31.5,69.3,109.82,2.58
Coal,33.6,26.78,47.91,0.964,1.0,1.0,South,3026.74,21.7,58.0,6090.01,12782.88
Natural_Gas,21.1,48.1,53.23,0.953,1.0,1.0,Central,5555.94,34.5,70.2,6785.83,2927.95
Coal,8.3,46.2,87.62,0.756,1.0,0.95,Central,6240.48,37.9,77.9,11500.2,11290.6
Hydroelectric,15.1,82.68,42.84,0.71,0.854,1.0,East,2729.39,26.1,81.6,1555.28,22.94
Hydroelectric,32.1,86.81,65.67,0.993,1.022,1.0,East,6406.47,17.9,50.5,159.86,2.87
Biomass,14.4,24.62,80.91,0.871,1.0,1.0,North,4247.73,29.7,25.6,4471.08,2467.95
Solar,7.2,16.43,19.49,0.453,0.906,1.0,West,6633.8,11.1,83.1,195.14,37.08
Geothermal,8.5,18.63,52.67,0.448,1.0,1.0,Central,4019.67,26.6,33.8,1249.72,130.63
Natural_Gas,12.3,41.64,82.66,0.772,1.0,1.0,North,5397.24,9.1,86.4,9309.38,4314.07
Natural_Gas,26.2,48.52,52.77,0.909,1.0,1.0,West,7498.04,35.8,1.4,4428.74,2221.49
Natural_Gas,9.5,50.71,55.75,0.741,1.0,0.95,West,5406.82,26.1,56.7,3109.71,1207.18
Biomass,23.3,21.52,60.84,0.809,1.0,1.0,West,6021.52,20.9,43.0,1087.21,758.7
Coal,9.3,34.51,80.86,0.907,1.0,1.0,East,5463.15,27.0,31.8,11340.47,16364.96
Coal,28.3,30.63,95.0,0.51,1.0,1.0,Central,2627.71,33.2,19.9,6636.15,12347.96
Natural_Gas,5.9,49.49,60.6,0.348,1.0,1.0,Central,2715.21,32.1,57.9,50.58,21.11
Natural_Gas,17.7,46.42,61.42,0.686,1.0,1.0,East,3095.71,44.3,93.8,6832.88,3134.16
Wind,10.6,35.85,42.1,0.828,1.167,1.0,Central,4400.2,9.3,20.7,1314.2,20.1
Wind,28.2,30.12,25.83,0.86,0.984,1.0,Central,4359.53,20.6,20.7,373.24,8.01
Coal,5.8,33.09,71.81,0.895,1.0,0.95,South,3888.56,21.6,18.4,22651.91,29194.17
Solar,19.1,19.41,29.06,0.642,1.131,1.0,North,5861.12,11.1,83.3,367.03,59.09
Hydroelectric,4.7,86.91,60.75,0.51,0.852,0.95,North,5795.66,24.2,18.2,1423.66,21.69
Coal,39.2,30.28,93.51,0.601,1.0,1.0,North,6606.31,31.7,19.3,8939.63,17937.86
Hydroelectric,25.0,94.84,60.06,0.682,0.941,1.0,East,4490.27,38.6,32.0,1258.37,19.71
Natural_Gas,28.3,49.02,43.88,0.333,1.0,0.95,East,2946.53,25.8,76.1,1301.03,590.51
Nuclear,33.4,30.93,87.41,0.714,1.0,1.0,Central,4544.5,10.7,50.2,8974.97,321.27
Coal,39.4,31.28,72.43,0.753,1.0,1.0,South,4109.41,18.4,11.3,12543.94,25466.25
Hydroelectric,11.9,82.88,68.28,0.796,1.106,1.0,North,3585.27,23.1,7.0,3971.3,67.23
Nuclear,1.5,34.92,79.79,0.464,1.0,1.0,Central,5611.18,16.2,38.5,8486.04,213.24
Coal,38.9,34.08,79.07,0.338,1.0,1.0,East,4421.1,26.3,86.1,7021.62,12523.96
Hydroelectric,18.6,82.28,73.18,0.323,0.961,1.0,East,2376.42,21.0,52.5,1043.52,15.59
Natural_Gas,31.0,45.65,22.03,0.751,1.0,1.0,North,5604.89,17.5,62.3,800.6,405.93
Coal,11.4,38.84,89.26,0.579,1.0,0.95,Central,4541.05,3.4,30.0,13258.61,17640.59
Geothermal,5.0,12.38,55.63,0.437,1.0,1.0,North,3832.2,34.3,78.4,875.71,127.14
Coal,28.0,23.07,60.27,0.987,1.0,1.0,North,5920.57,24.7,52.5,11856.91,27444.2
Geothermal,1.9,16.42,46.57,0.998,1.0,1.0,East,5521.02,35.9,29.8,735.83,77.34
Hydroelectric,5.4,90.45,31.06,0.313,0.983,1.0,Central,7616.98,12.9,88.8,477.9,6.28
Coal,5.0,32.27,68.64,0.726,1.0,1.0,South,4927.26,36.6,7.3,805.9,1105.79
Natural_Gas,26.8,39.64,72.25,0.525,1.0,1.0,South,5913.78,18.5,66.7,4119.41,2176.95
Natural_Gas,33.3,43.55,69.93,0.854,1.0,1.0,Central,6428.48,16.1,93.5,6248.65,3194.39
Natural_Gas,35.0,47.82,41.22,0.495,1.0,1.0,Central,6741.82,33.0,52.6,1631.33,903.84
Geothermal,20.9,10.64,55.61,0.785,1.0,1.0,Central,3165.48,17.9,64.1,2126.45,447.49
Biomass,29.9,28.7,45.36,0.328,1.0,1.0,North,6136.44,29.0,73.8,759.5,466.54
Coal,2.6,30.84,68.32,0.787,1.0,1.0,South,6669.5,18.1,55.6,13806.83,19275.44
Solar,18.2,18.47,24.38,0.657,1.179,1.0,Central,5253.98,24.3,72.2,108.27,18.1
Natural_Gas,28.9,48.82,71.27,0.447,1.0,1.0,East,8627.58,8.8,22.6,293.04,140.52
Natural_Gas,27.3,44.8,54.87,0.947,1.0,1.0,North,3544.21,35.3,90.9,2149.37,1078.16
Natural_Gas,39.4,48.98,48.58,0.467,1.0,1.0,Central,4925.86,14.0,61.2,3445.47,1831.91
Biomass,39.5,24.13,40.47,0.967,1.0,1.0,West,3875.5,8.0,75.1,2617.27,1900.83
Natural_Gas,37.9,41.65,65.89,0.493,1.0,1.0,West,6668.22,19.3,76.7,4220.51,2647.99
Coal,19.6,37.09,91.78,0.935,1.0,1.0,West,4414.06,25.8,38.1,24380.12,32585.55
Natural_Gas,38.4,52.16,47.02,0.593,1.0,1.0,East,5069.62,39.3,96.9,2292.69,1044.52
Coal,24.1,33.43,57.57,0.569,1.0,1.0,South,5120.06,25.6,97.5,6614.79,11015.9
Coal,15.4,34.96,91.35,0.46,1.0,1.0,East,6273.21,11.4,29.1,10107.48,14803.22
Solar,17.7,19.68,18.5,0.78,0.914,1.0,East,7621.0,27.2,92.2,380.76,60.19
Natural_Gas,23.6,48.44,57.52,0.36,1.0,1.0,South,4103.52,21.9,62.1,1335.63,650.37
Natural_Gas,25.3,46.86,58.33,0.644,1.0,1.0,South,4158.32,27.8,85.9,1545.02,682.81
Hydroelectric,10.2,84.89,32.09,0.521,0.979,1.0,East,8215.32,20.7,93.1,930.41,14.67
Natural_Gas,32.3,47.18,58.01,0.463,1.0,1.0,West,5127.2,20.7,14.1,1159.53,542.29
Solar,12.9,15.54,30.16,0.387,0.905,1.0,East,7470.46,32.3,8.7,207.85,45.64
Natural_Gas,26.3,42.63,72.22,0.676,1.0,1.0,West,3323.11,22.0,31.5,6485.73,3502.94
Natural_Gas,19.3,50.15,80.88,0.303,1.0,1.0,Central,5144.63,37.2,34.7,1326.91,601.72
Coal,37.3,27.59,67.17,0.819,1.0,1.0,Central,5339.47,17.8,23.8,9918.0,21750.1
Natural_Gas,10.0,47.27,83.26,0.504,1.0,0.95,Central,2904.91,21.0,76.5,2717.61,1148.5
Coal,38.2,27.87,68.39,0.512,1.0,1.0,West,5815.72,33.9,94.8,3218.93,7194.9
Natural_Gas,29.9,46.42,78.29,0.904,1.0,1.0,Central,3985.45,9.3,66.3,9983.24,4890.56
Coal,7.5,35.73,64.91,0.858,1.0,1.0,Central,4131.22,27.2,78.7,14545.55,19515.91
Coal,23.7,33.93,71.19,0.785,1.0,1.0,Central,4286.21,25.3,29.6,12489.29,19016.15
Natural_Gas,39.3,46.34,46.19,0.872,1.0,1.0,North,3460.9,25.7,61.9,4695.62,2450.22
Solar,37.3,12.31,31.74,0.591,0.69,1.0,South,5318.35,24.5,75.6,419.2,135.3
Wind,16.3,35.24,28.1,0.791,1.176,1.0,North,4287.76,24.4,73.4,1055.18,19.42
Natural_Gas,14.5,48.96,89.54,0.386,1.0,1.0,East,3442.25,15.7,44.1,5739.41,2560.9
Nuclear,39.2,25.8,79.2,0.703,1.0,1.0,Central,7082.82,17.0,91.2,10111.91,449.14
Natural_Gas,11.5,41.28,55.88,0.573,1.0,1.0,Central,5152.64,19.7,26.8,286.55,153.97
Coal,12.0,29.69,72.58,0.942,1.0,1.0,North,6138.44,23.2,45.6,12215.72,18155.09
Natural_Gas,21.5,49.45,54.05,0.799,1.0,0.95,East,4452.11,25.5,92.1,2676.99,1127.49
Natural_Gas,36.1,40.79,36.17,0.423,1.0,1.0,East,4685.85,29.4,74.4,1850.48,1172.09
Coal,32.1,28.73,66.77,0.469,1.0,0.95,South,5564.05,27.4,16.0,3023.09,6203.84
Coal,12.7,35.87,57.52,0.687,1.0,0.95,North,6395.19,10.1,66.9,2981.99,4085.64
Wind,12.0,31.43,32.21,0.994,0.788,1.0,Central,5198.62,24.9,31.4,1248.0,22.8
Natural_Gas,21.1,49.26,44.86,0.456,1.0,1.0,West,8328.12,15.5,28.1,4349.73,1966.7
Oil,9.9,32.29,26.59,0.791,1.0,0.95,North,3282.26,33.7,2.5,1287.77,1527.14
Coal,37.3,29.61,71.03,0.456,1.0,1.0,South,4180.01,29.0,31.9,3132.34,6859.67
Coal,8.3,30.14,86.1,0.857,1.0,0.95,South,4035.8,31.3,75.8,22687.2,36385.23
Nuclear,10.9,34.59,88.79,0.576,1.0,1.0,West,3515.43,23.1,25.5,8926.97,235.64
Wind,27.0,26.56,39.31,0.513,0.688,1.0,East,3807.24,37.8,30.2,551.21,13.46
Hydroelectric,8.6,86.52,71.67,0.859,0.945,1.0,West,4387.7,28.1,42.4,3438.58,52.77
Natural_Gas,23.4,52.18,44.07,0.637,1.0,1.0,North,6404.86,12.1,79.9,2714.58,1118.02
Natural_Gas,5.7,49.57,80.5,0.973,1.0,1.0,Central,5276.65,45.0,46.2,10926.18,3843.0
Hydroelectric,28.8,90.66,54.93,0.327,0.772,1.0,East,4462.04,5.5,21.6,996.96,16.32
Solar,10.2,18.95,30.67,0.608,0.917,1.0,East,2553.24,25.0,49.5,449.5,72.08
Coal,36.3,32.55,78.11,0.727,1.0,1.0,Central,4667.29,23.7,2.6,8555.23,15167.52
Coal,11.1,39.08,76.51,0.578,1.0,1.0,West,7715.96,41.1,3.8,838.49,1004.18
Coal,9.9,36.07,59.44,0.649,1.0,1.0,East,7206.89,21.0,12.7,3961.7,5119.47
Natural_Gas,22.5,49.28,59.33,0.662,1.0,1.0,East,3941.02,14.9,20.7,2276.61,992.32
Coal,4.0,33.25,72.88,0.837,1.0,1.0,East,6338.92,18.8,58.4,14849.87,20822.97
Hydroelectric,11.6,88.0,21.25,0.513,1.184,1.0,North,3778.9,34.5,68.7,617.72,8.47
Natural_Gas,38.2,45.56,28.71,0.856,1.0,0.95,East,7011.12,23.2,8.5,2901.78,1600.4
Nuclear,22.7,32.4,82.43,0.474,1.0,1.0,East,3775.97,22.8,59.2,5856.73,185.27
Natural_Gas,22.2,49.6,52.7,0.36,1.0,1.0,East,6549.95,27.3,79.2,1088.68,536.97
Coal,21.2,36.8,64.49,0.998,1.0,1.0,South,2307.21,23.6,16.4,20920.24,27785.8
Natural_Gas,35.8,44.19,51.64,0.966,1.0,1.0,East,8198.27,25.2,2.1,3101.75,1636.34
Natural_Gas,16.6,41.42,70.09,0.899,1.0,1.0,Central,7333.01,15.0,11.2,1140.03,551.76
Natural_Gas,6.1,44.52,66.52,0.78,1.0,1.0,East,5197.42,15.3,86.8,8001.71,3478.56
Coal,25.2,27.58,68.83,0.364,1.0,1.0,North,5342.92,31.3,17.3,5843.41,12570.32
Natural_Gas,3.3,45.96,73.06,0.61,1.0,1.0,Central,5368.61,25.2,16.8,4647.74,1961.35
Nuclear,6.9,34.31,87.86,0.893,1.0,1.0,East,5284.58,19.3,18.7,23467.18,593.36
Hydroelectric,5.1,85.02,43.46,0.645,0.925,1.0,South,6002.0,21.3,56.3,1053.05,15.03
Nuclear,2.2,32.1,91.14,0.756,1.0,1.0,East,4044.46,23.1,33.3,6793.53,172.04
Natural_Gas,30.8,46.49,64.28,0.389,1.0,1.0,Central,7236.58,20.7,35.1,2541.17,1400.53
Coal,13.2,40.5,69.81,0.381,1.0,1.0,South,6052.91,32.3,13.3,2406.47,3164.12
Nuclear,10.4,27.28,90.16,0.306,1.0,1.0,East,5019.8,21.4,76.6,7312.09,263.33
Natural_Gas,22.4,52.49,53.5,0.455,1.0,1.0,Central,6180.25,16.4,23.4,1924.18,765.43
Natural_Gas,12.0,44.26,63.04,0.381,1.0,1.0,Central,8173.01,46.0,7.6,2617.29,1212.58
Wind,37.6,34.52,37.34,0.383,0.946,1.0,West,2842.27,30.4,31.6,319.49,6.91
Natural_Gas,8.7,49.18,54.06,0.359,1.0,1.0,East,5866.45,29.8,79.0,1470.05,600.59
Coal,16.8,37.16,71.36,0.342,1.0,1.0,Central,6434.19,32.9,82.2,2605.96,3499.3
Solar,4.8,19.56,31.05,0.389,0.944,1.0,Central,5979.28,16.0,91.6,396.66,60.8
Hydroelectric,5.4,88.53,52.1,0.966,0.595,1.0,West,5643.09,31.8,99.1,935.14,12.62
Natural_Gas,12.2,48.12,71.99,0.604,1.0,1.0,East,3956.72,18.7,22.9,3942.99,1622.01
Natural_Gas,26.8,48.75,46.65,0.402,1.0,1.0,North,3391.64,10.5,78.9,2509.88,1118.95
Nuclear,1.2,32.62,84.09,0.899,1.0,1.0,South,6901.55,16.0,14.5,7872.96,198.36
Natural_Gas,25.8,49.35,38.92,0.91,1.0,0.95,Central,5224.34,29.2,39.7,3055.92,1281.55
Natural_Gas,30.8,52.26,95.0,0.833,1.0,1.0,Central,5217.03,6.4,10.3,4328.48,1863.93
Natural_Gas,26.3,50.32,78.04,0.333,1.0,1.0,West,4343.62,23.3,35.4,940.3,429.67
Coal,33.7,34.07,66.42,0.908,1.0,0.95,Central,4660.05,38.5,13.1,24478.2,39183.46
Coal,28.7,36.17,76.59,0.552,1.0,1.0,North,4464.63,23.6,92.5,14535.53,20001.86
Natural_Gas,15.3,48.06,65.85,0.536,1.0,1.0,West,5285.28,36.1,90.0,3520.83,1502.21
Natural_Gas,35.8,39.4,75.69,0.455,1.0,1.0,Central,6558.77,11.0,94.2,3497.95,2128.12
Coal,30.9,33.91,85.52,0.349,1.0,1.0,West,3807.64,25.8,94.6,3347.88,5486.85
Nuclear,12.9,30.05,88.93,0.797,1.0,1.0,West,3249.84,35.5,3.1,6741.91,210.99
Coal,18.8,31.99,60.98,0.579,1.0,1.0,South,3847.71,39.8,9.0,7686.61,13023.01
Oil,12.3,38.54,63.87,0.455,1.0,1.0,Central,4069.95,20.8,25.5,1914.2,2026.46
Hydroelectric,6.2,87.58,76.88,0.422,0.919,1.0,North,3782.34,27.1,42.6,1213.94,18.68
